Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2011,2011,5,48,60,51,0.429942992,0,-0.06,-0.213285714,15.8,10.1,13,3.3,17,31.3,1131.6,81.8,1001.8,13.1,13.1,13,12.7,12.6,11.6,8.9,5.1,2.369,2.369,25.682,0.708903333,0.200211439,0.053887274,15.57142857,9.257142857,12.4,3.528571429,14.64285714,31.52857143,1170,80.3,1003,13.14285714,13.18571429,13.02857143,12.72857143,12.57142857,11.57142857,8.014285714,4.042857143,2.053194185,2.053194185,27.06017004,0.597922783,0.238139579,0.053926562
16/05/2011,2011,5,177,89,244,0.429942992,0,-0.06,-0.153571429,11.6,10.7,11.2,14.2,10.3,25.3,163.8,96.2,1018.7,11.6,11.7,11.8,11.8,12.1,11.8,10.4,0,1.036,1.036,0,9.118128333,2.377354829,0.592148797,13.48571429,8.757142857,11.12857143,6.971428571,11.85714286,29.61428571,1237.085714,86.07142857,1017.085714,12.51428571,12.52857143,12.48571429,12.32857143,12.47142857,11.75714286,7.585714286,4.1,2.047834446,2.047834446,13.46043375,3.817186637,1.154281394,0.229277634
23/05/2011,2011,5,169,146,219,0.429942992,0,-0.06,-0.605285714,12.9,7.4,10.2,11.4,22,51.2,1583.9,77.6,1004.6,11.7,11.9,12,11.9,12.1,11.8,4.6,7.3,2.859,2.859,0,18.93447865,3.551780075,1.598981693,13.3,7.342857143,10.32857143,6.642857143,14.4,35.51428571,1524.928571,82.6,1008.171429,12.27142857,12.28571429,12.17142857,12,12.15714286,11.72857143,5.428571429,5.685714286,2.447812734,2.447812734,1.108924772,9.362562278,1.48539735,0.65656368
30/05/2011,2011,5,87,130,109,0.429942992,0,-0.06,0.482857143,14.6,5.8,10.2,3.6,8.5,28,2084.9,77.7,1007.7,12.6,12.5,12.2,11.9,12,11.6,2.7,9.9,3.55,3.55,0.189,2.835822604,0.587748982,0.065248926,13.17142857,7.728571429,10.44285714,5.342857143,14.28571429,34.44285714,1421.228571,81.07142857,1009.857143,11.85714286,11.82857143,11.7,11.6,11.84285714,11.65714286,5.857142857,4.957142857,2.31270802,2.31270802,0.487843117,6.23664762,1.257371427,0.168704236
06/06/2011,2011,6,71,75,86,0.554277605,0,-1.28,0.853714286,13,5.6,9.3,3,7.6,21.5,957.5,91.1,1002,12.5,12.6,12.8,12.9,13.4,12.4,-0.3,1.5,1.429,1.429,12.766,0.931758125,0.204788401,0.046993912,15.74285714,8.785714286,12.25714286,1,10.64285714,25.25714286,1731.785714,84.35714286,1021.014286,14.87142857,14.65714286,14.24285714,13.65714286,13.25714286,11.92857143,6.214285714,6.114285714,2.796754725,2.796754725,7.666733208,1.889714673,0.513002992,0.079785498
13/06/2011,2011,6,NA,NA,NA,0.554277605,0,-1.28,-0.967571429,17.2,7.7,12.5,0,8.8,23,2681.5,73.5,1008.4,15.5,15.1,14.1,13.3,13.1,12.4,1.8,11.2,4.123,4.123,7.846,0.948597604,0.221969581,0.072863341,14.22857143,6.671428571,10.47142857,3.414285714,9.571428571,26.07142857,1888.3,80.21428571,1006,13.61428571,13.57142857,13.25714286,12.95714286,13.07142857,12.4,3.028571429,6.342857143,2.71136228,2.71136228,5.594914236,1.325882693,0.496413576,0.087164519
20/06/2011,2011,6,86,92,114,0.554277605,0,-1.28,-1.547571429,15,7.4,11.2,3.5,5.9,17.7,805.6,82.1,1005.4,14.1,14.3,14.3,14.1,14.1,13,4.8,1.2,1.483,1.483,2.888,1.216015938,0.266570345,0.08106578,16,8.371428571,12.15714286,3.3,9.057142857,23.15714286,1749.614286,81.71428571,1003.042857,14.92857143,14.87142857,14.55714286,14.18571429,13.95714286,12.71428571,5.357142857,5.4,2.591747446,2.591747446,6.742808966,1.203143006,0.460514125,0.090226407
27/06/2011,2011,6,180,82,248,0.554277605,0,-1.28,-0.907571429,16.8,7.8,12.3,0.5,5.5,18.1,2158.5,80.4,1013.8,15.2,14.9,14.4,13.9,13.8,13.1,1.3,7.1,3.096,3.096,2.596,3.598201354,0.437910327,0.136575236,15.71428571,9.414285714,12.55714286,6.214285714,9.2,24.25714286,1216.142857,87.34285714,1009.814286,14.45714286,14.35714286,14.11428571,13.85714286,13.87142857,13.1,6.414285714,3.085714286,2.037096195,2.037096195,0.496624377,3.480918066,1.068770003,0.22658096
04/07/2011,2011,7,65,163,71,0.3859993,0,-1.51,-1.099714286,19.3,11.9,15.6,0.4,10.3,28.2,1453.3,78.2,1007.9,17.6,17.4,16.9,16.1,15.4,13.7,11.1,1.8,1.782,1.782,16.431,0.759974063,0.24313494,0.06168892,17.62857143,10.12857143,13.87142857,0.771428571,7.057142857,19.87142857,1775.328571,80.37142857,1017.585714,16.61428571,16.38571429,15.84285714,15.22857143,14.72857143,13.38571429,8.185714286,5.528571429,2.747813836,2.747813836,11.72631574,1.322541592,0.235217985,0.069881728
11/07/2011,2011,7,90,111,109,0.3859993,0,-1.51,-0.958857143,16.7,10.7,13.7,0,7.1,14.7,1275.7,76,1020,16.5,16.3,16,15.5,15.2,14.1,9.2,1,1.456,1.456,17.485,0.947338438,0.191451439,0.063473581,16.94285714,10.75714286,13.85714286,2.057142857,7.6,19.77142857,1321.985714,83.55714286,1003.8,16.2,16.08571429,15.85714286,15.45714286,15.25714286,13.98571429,8.328571429,3.657142857,2.207729554,2.207729554,14.38676735,1.343214732,0.462176549,0.103021539
18/07/2011,2011,7,112,113,155,0.3859993,0,-1.51,-0.455142857,13.7,11.2,12.4,9.1,21,37.8,723.2,91.2,998.2,13,13.1,13.4,13.7,14.4,14.4,10.8,0.4,1.22,1.22,0,8.581051354,2.81432024,0.24350392,17.11428571,11.52857143,14.3,6.628571429,12.38571429,27.37142857,1105.828571,86.25714286,1007.171429,15.85714286,15.84285714,15.78571429,15.52857143,15.44285714,14.34285714,9.9,2.842857143,2.007760819,2.007760819,13.98828116,3.618260402,1.488922697,0.212629592
25/07/2011,2011,7,NA,NA,NA,0.3859993,0,-1.51,-0.593714286,18.2,12.9,15.5,0.1,8.4,25.4,987.4,91.9,1010.2,17.9,17.8,17.5,16.7,15.9,14.2,12.6,2,1.713,1.713,12.016,0.819176146,0.169350281,0.057115542,17.28571429,11.1,14.2,0.171428571,6.671428571,20.02857143,1283.471429,81.98571429,1012.428571,16.18571429,15.97142857,15.5,15,14.75714286,14.14285714,9.471428571,2.785714286,1.887960919,1.887960919,7.148298899,2.562556533,0.284766287,0.080520596
01/08/2011,2011,8,NA,NA,NA,0.453428894,0,-1.35,-0.840857143,17.3,10.2,13.8,0,3.6,13,1382.7,81,1008.6,17.1,17,16.6,16,15.7,14.7,6.5,2.4,1.695,1.695,20.475,0.488843958,0.231204835,0.050720775,17.84285714,11.68571429,14.77142857,0.4,7.214285714,20.31428571,1110.942857,84.51428571,1016.142857,16.95714286,16.87142857,16.6,16.11428571,15.8,14.58571429,9.485714286,1.814285714,1.608511666,1.608511666,17.12823927,0.565536637,0.217391946,0.052717047
08/08/2011,2011,8,79,119,117,0.453428894,0,-1.35,-1.971285714,16.1,11.4,13.8,0.9,14.9,31.4,1936.6,81.5,1011,15.9,15.9,15.9,15.6,15.7,14.8,9.3,7,2.813,2.813,24.49,0.478030208,0.2053975,0.05618213,17.58571429,9.957142857,13.78571429,1.314285714,7.471428571,20.87142857,1324.885714,83.64285714,1005.971429,16.4,16.37142857,16.24285714,15.9,15.74285714,14.77142857,7.228571429,3.285714286,1.887832122,1.887832122,23.43966008,0.467582232,0.218389334,0.055312335
15/08/2011,2011,8,NA,NA,NA,0.453428894,0,-1.35,-0.467571429,15.3,9.9,12.6,9.9,6.3,15.3,774.8,92.5,1008.1,14.8,14.9,15,15.1,15.4,14.9,8.2,2.7,1.595,1.595,0,3.213798646,0.639192819,0.110791827,16.52857143,12.11428571,14.31428571,9.528571429,8.385714286,22.58571429,890.0857143,91.37142857,1006.942857,15.8,15.8,15.72857143,15.54285714,15.55714286,14.87142857,11.45714286,2.142857143,1.539003887,1.539003887,3.604128609,6.044522039,1.676626526,0.389102209
22/08/2011,2011,8,NA,152,NA,0.453428894,0,-1.35,-0.237857143,18.8,10.2,14.5,0,4.1,14.9,1523.7,76.7,1016.9,16.8,16.6,16,15.5,15.3,14.7,9.8,4.3,1.987,1.987,1.987,1.1563975,0.231614655,0.065154313,17.24285714,9.957142857,13.6,2.214285714,7.185714286,21.88571429,1301.971429,82.48571429,1012.3,15.47142857,15.37142857,15.22857143,15.01428571,15.12857143,14.8,7.957142857,5.042857143,2.16795784,2.16795784,1.944338235,1.854817679,0.372451777,0.085134476
29/08/2011,2011,8,NA,131,NA,0.453428894,0,-1.35,-0.285142857,14,8.1,11,0,6.1,18.2,628.6,77.9,1019,12.3,12.3,12.8,13.2,14,14.5,5,1.3,1.081,1.081,2.291,1.834405521,0.259685667,0.084787237,15.78571429,9.757142857,12.75714286,4.5,8.842857143,23.67142857,1050.385714,83.38571429,1009.571429,14,14.01428571,14.25714286,14.34285714,14.77142857,14.7,8.128571429,4.428571429,1.891987682,1.891987682,0.670184345,1.687785952,0.515666169,0.113289092
05/09/2011,2011,9,NA,NA,NA,0.275152682,0,0.54,0.062571429,15.2,9.9,12.5,21.3,11.9,33,491.4,90.7,999.5,13.1,13.1,13.3,13.5,14,14.3,9.6,0.6,0.898,0.898,0,13.4523075,6.042128664,4.372497769,16.11428571,10.28571429,13.18571429,6.371428571,8.057142857,22.8,774.9857143,86.17142857,1004.557143,14.1,14.02857143,13.97142857,13.92857143,14.17142857,14.31428571,9.657142857,1.3,1.097305464,1.097305464,1.158697948,3.707371935,1.47438685,0.749505814
12/09/2011,2011,9,180,103,225,0.275152682,0,0.54,0.231714286,15.5,10.9,13.2,1.8,21.1,46.9,356.1,86,989.1,13.2,13.4,13.7,13.8,14.2,14.2,9.8,0.1,0.739,0.739,0,22.59727927,3.149678599,1.085290723,15.98571429,11.64285714,13.82857143,8.714285714,15.37142857,35.25714286,598.3285714,89.35714286,993.6571429,14.05714286,14.08571429,14.02857143,13.95714286,14.11428571,14.15714286,11.14285714,1.328571429,1.052986637,1.052986637,0,13.40069254,2.414406081,0.927010483
19/09/2011,2011,9,NA,68,NA,0.275152682,0,0.54,0.545714286,15.9,10.3,13.1,14.9,8.5,22,677.5,93.6,1005.2,13.7,13.6,13.5,13.4,13.5,13.8,9.1,3.1,1.286,1.286,0,9.241361146,1.76119018,0.349640784,15.58571429,10.05714286,12.82857143,7.557142857,11.94285714,29.32857143,876.0857143,87.35714286,1006.614286,13.17142857,13.15714286,13.2,13.25714286,13.61428571,13.97142857,9.4,3.585714286,1.418504359,1.418504359,0.06645508,8.448090178,1.167617888,0.437700126
26/09/2011,2011,9,NA,NA,NA,0.275152682,0,0.54,0.007857143,17,8.3,12.7,1.8,7.2,18.1,822.9,88.6,1012.2,12.4,12.3,12.4,12.6,13.1,13.6,6.9,3.7,1.294,1.294,0,3.397315104,0.612000124,0.141664885,15.71428571,10,12.85714286,3.657142857,12.25714286,29.05714286,811.5285714,85.3,1006.542857,12.8,12.82857143,12.87142857,12.94285714,13.27142857,13.68571429,8.785714286,3.385714286,1.282765478,1.282765478,0.234257951,4.803409836,0.664284004,0.201426309
03/10/2011,2011,10,NA,NA,NA,0.658443637,0,0.39,0.571714286,15.1,10.5,12.8,1.2,11.8,31.3,728.4,82.1,1009.8,13,13.2,13.6,13.7,14,13.9,9.7,4.3,1.306,1.306,0.898,1.635851458,0.238558358,0.088582919,17.3,11.97142857,14.64285714,1.871428571,10.87142857,26.41428571,571.1857143,88.4,1013.7,14.62857143,14.6,14.41428571,14.17142857,14.04285714,13.71428571,11.51428571,1.842857143,0.931637186,0.931637186,0.380620336,2.629677128,0.549637078,0.138832873
10/10/2011,2011,10,NA,NA,NA,0.658443637,0,0.39,0.187,15.5,12,13.8,34.8,11.2,29.6,338.3,97,1008.3,14.3,14.2,13.8,13.5,13.4,13.3,11.9,0.4,0.555,0.555,0,21.0178601,4.101703706,1.250848842,14.41428571,10.47142857,12.44285714,14.24285714,13.95714286,34.42857143,448.1285714,89.44285714,1011.928571,12.42857143,12.48571429,12.52857143,12.64285714,13.01428571,13.62857143,9.657142857,2.285714286,0.878457314,0.878457314,0,9.119455402,2.398089261,0.870683841
17/10/2011,2011,10,148,110,237,0.658443637,0,0.39,-0.143285714,11.4,4.8,8.1,51.7,13.9,36.5,269.3,88,1003.1,9.5,10,11,11.5,12.4,13.5,4.5,1.2,0.54,0.54,0,25.86649823,6.351808913,5.171481625,14.55714286,10.27142857,12.41428571,11.41428571,9.857142857,25.05714286,459.6,90.32857143,1014.785714,12.91428571,13.04285714,13.21428571,13.22857143,13.42857143,13.54285714,9.857142857,2.2,0.789102234,0.789102234,0.123231259,13.31615186,2.15017824,1.035091246
24/10/2011,2011,10,167,116,226,0.658443637,0,0.39,0.502714286,14,8,11,1.8,8.7,28.3,289.8,92.8,980.6,11.5,11.5,11.4,11.3,11.4,12.4,5.7,0,0.354,0.354,0,12.38660042,1.591095404,0.508305299,12.82857143,7.714285714,10.28571429,6.857142857,11.9,32.38571429,336.3714286,88.25714286,1002.785714,9.828571429,9.914285714,10.08571429,10.34285714,11.05714286,12.74285714,5.257142857,1.385714286,0.557072053,0.557072053,0,10.86061164,1.609960913,0.440402813
31/10/2011,2011,10,153,109,254,0.658443637,0,0.39,0.187857143,15.3,7.5,11.4,10.1,11.6,27.9,255.6,91.3,995.6,11.9,12.1,12.1,11.8,11.6,11.9,5.3,1.3,0.475,0.475,0,10.4312874,2.821584366,0.80303867,13.2,8.05,10.61666667,4.1,10.91666667,26.93333333,211.1666667,91.65,998.0166667,10.25,10.31666667,10.41666667,10.53333333,10.9,12.05,6.983333333,0.914285714,0.434223328,0.434223328,0,6.228286399,1.091652558,0.242514152
07/11/2011,2011,11,112,96,155,0.468896028,0,1.36,0.332142857,10.4,5.1,7.7,0.2,8.6,19.7,581.5,90,1018.6,7.4,7.7,8.4,9,9.8,11.7,3.5,5.4,0.807,0.807,2.192,2.002866771,0.229408674,0.053510481,13.04285714,6.714285714,9.871428571,3.042857143,9.628571429,25,438.7428571,88.98571429,999.3857143,9.285714286,9.457142857,9.828571429,10.18571429,10.74285714,11.92857143,4.585714286,4,0.725527246,0.725527246,0.652463767,5.065690967,0.675717654,0.162697495
14/11/2011,2011,11,NA,NA,NA,0.468896028,0,1.36,0.250142857,13.9,9,11.5,0,11,30.6,126.2,87.6,1014.9,11.6,11.6,11.4,11.1,10.9,11.3,9.1,0,0.234,0.234,1.372,0.812282396,0.186685944,0.036679593,13.31428571,9,11.15714286,0.571428571,13.1,31.84285714,240.9,86.41428571,1007.185714,9.914285714,9.942857143,9.842857143,9.871428571,10.2,11.34285714,8.185714286,1.928571429,0.454386471,0.454386471,2.123882576,1.143371414,0.206717375,0.04236255
21/11/2011,2011,11,184.6,142.6,258,0.468896028,0,1.36,0.492857143,10.1,7.8,8.9,0.9,5.6,17.8,202.1,85,1007.7,9.2,9.4,9.9,10.2,10.6,11.4,6.2,1.4,0.313,0.313,0,4.035402813,0.68539772,0.108430581,8.628571429,6.085714286,7.342857143,4.92,7,17.7,128.2,91.42,1004.6,7.057142857,7.114285714,7.257142857,7.357142857,7.614285714,8.142857143,5.514285714,1.157142857,0.323421743,0.323421743,0.400626022,5.399477664,1.042445851,0.408887128
28/11/2011,2011,11,108,67.6,159,0.468896028,0,1.36,1.540428571,12.5,7.8,10.1,19.2,13.7,33.1,38,89.7,1003.4,8.5,8.5,8.5,8.7,9.4,10.9,7.1,0,0.172,0.172,0,16.54874906,2.987581647,1.843986738,12.18571429,6.7,9.414285714,11.1,15.11428571,40.51428571,140.7571429,86.51428571,1011.171429,8.542857143,8.685714286,8.885714286,9.171428571,9.742857143,11.07142857,5.2,1.214285714,0.277772561,0.277772561,0.009762113,12.87475876,2.902055608,1.025042842
05/12/2011,2011,12,101.6,56.3,157.6,1.17428665,0,2.52,1.764428571,5.8,2.9,4.3,14.8,18.3,44.2,141.7,82,1002.6,3.2,3.6,4.5,5.6,7.1,9.9,1.4,0.7,0.178,0.178,0,9.227814688,1.490598323,0.295860757,9.1,3.657142857,6.4,12.18571429,14.64285714,39.92857143,140.4571429,84.77142857,999.4857143,5.571428571,5.914285714,6.557142857,7.214285714,8.214285714,10.35714286,2.071428571,1.085714286,0.22472259,0.22472259,0,16.57105976,2.390438692,0.691579593
12/12/2011,2011,12,48,24,77,1.17428665,0,2.52,1.491142857,9.4,3.3,6.3,14.8,12.9,38.3,33.5,88.8,985.4,4,4.2,4.6,5.2,6.3,8.6,1.4,0,0.131,0.131,0,11.38882708,2.010823371,1.057866172,8.314285714,3.7,6,9.242857143,14.57142857,38.67142857,126.4,86.07142857,1000.185714,4.414285714,4.514285714,4.814285714,5.4,6.542857143,9.071428571,2.2,1.114285714,0.206833342,0.206833342,0,11.45331156,2.011699634,0.951919022
19/12/2011,2011,12,NA,NA,NA,1.17428665,0,2.52,1.032714286,10.3,6.3,8.3,19,13,36.2,108.7,88.2,1009.1,6.2,6,5.4,5.2,5.5,7.6,5.9,0.2,0.151,0.151,0,13.62268198,3.435624039,1.477650516,7.471428571,2.3,4.9,7.842857143,12.35714286,37.45714286,152.8571429,84.21428571,997,3.285714286,3.485714286,3.828571429,4.428571429,5.542857143,8.042857143,0.728571429,1.3,0.207485526,0.207485526,0,8.177181205,1.260377079,0.450171031
26/12/2011,2011,12,NA,NA,NA,1.17428665,0,2.52,1.191428571,12.5,6.8,9.6,5.2,19.6,45,38.7,90.7,1017.5,10,10,9.5,9,8.4,8.2,6.1,0,0.149,0.149,0,12.45035938,3.606186845,1.2046209,11.17142857,7.342857143,9.257142857,6.585714286,13.74285714,35.72857143,79.47142857,91.27142857,1015.1,8.271428571,8.242857143,7.885714286,7.614285714,7.385714286,7.928571429,6.514285714,0.557142857,0.183533737,0.183533737,0,10.74826832,2.244599668,0.716757592
02/01/2012,2012,1,55,31.6,79.6,1.438867607,0,1.17,1.137,8.7,1.8,5.3,12.4,12.9,45.4,170.2,86.3,993.8,3.5,3.9,4.8,5.9,7.2,8.6,1,1.2,0.215,0.215,0,10.15110594,1.682020367,0.393451372,9.383333333,4.75,7.083333333,10.05,15.63333333,42.68333333,120.2166667,87,1006.85,6.383333333,6.65,7.066666667,7.433333333,7.883333333,8.533333333,3.95,0.585714286,0.186555586,0.186555586,0,11.11886347,1.703183937,0.500579997
09/01/2012,2012,1,50.6,29.6,69.6,1.438867607,0,1.17,0.930714286,10,7.1,8.6,4.1,8.7,28.1,267.5,83.2,1024.1,7.7,7.9,8,7.9,7.9,8.3,5.8,3.8,0.457,0.457,0,5.546611667,1.752587947,0.644148014,10.37142857,6.714285714,8.542857143,4.942857143,15.6,41.15714286,126.3285714,83.25714286,1013.985714,6.885714286,6.942857143,6.9,6.928571429,7.242857143,8.271428571,5.585714286,1.271428571,0.24920352,0.24920352,0.018200279,9.191128169,1.21678602,0.924412621
16/01/2012,2012,1,NA,NA,NA,1.438867607,0,1.17,0.230857143,8.2,2.4,5.3,0,11.4,25.4,198.8,87.6,1015.4,4.1,4.3,4.9,5.7,6.8,8.5,1.5,2,0.317,0.317,0.852,1.490927917,0.216418831,0.108320999,8.928571429,5.071428571,7,2.6,9.428571429,27.1,165.9714286,90.62857143,1021.857143,6.828571429,6.971428571,7.214285714,7.442857143,7.8,8.514285714,4.342857143,0.985714286,0.236814378,0.236814378,0.25287061,3.430048676,0.594291018,0.199456967
23/01/2012,2012,1,77,51.3,117,1.438867607,0,1.17,1.023,9.8,5.2,7.5,6.5,5.4,20.4,253.9,87,1016.4,6.4,6.4,6.5,6.8,7.3,8.3,4.1,0.8,0.269,0.269,0,1.767719375,0.411371181,0.132114128,10.05714286,6.285714286,8.171428571,4.128571429,13.92857143,36.75714286,178.6142857,84.78571429,1015.128571,6.785714286,6.828571429,6.828571429,6.971428571,7.271428571,8.314285714,5.371428571,0.857142857,0.264072676,0.264072676,0,2.357871146,0.728047862,0.200492347
30/01/2012,2012,1,72,60.3,103,1.438867607,0,1.17,0.326428571,7.6,4.5,6,1.1,11.7,25.5,72.4,96.9,1016.5,6.8,7,7.2,7.2,7.2,7.9,4.2,0,0.219,0.219,0,7.570858125,0.631720754,0.211652401,9.142857143,4,6.557142857,10.04285714,11.15714286,30.12857143,145.5571429,91.54285714,1012.457143,6.285714286,6.385714286,6.514285714,6.7,7.071428571,8.171428571,2.6,0.642857143,0.265337589,0.265337589,0,9.518716027,2.064462007,0.62443096
06/02/2012,2012,2,NA,NA,115,1.33279768,0,0.42,0.184142857,10.7,7.7,9.2,0.3,3.1,12.1,227.6,98.2,1030.6,8.2,8,7.2,6.7,6.3,7.3,7.2,0,0.277,0.277,0,2.816311042,0.752973735,0.142091957,7.342857143,2.328571429,4.828571429,1.542857143,9.085714286,21.27142857,253.4571429,87.02857143,1027.928571,4.2,4.328571429,4.6,5.028571429,5.828571429,7.657142857,1.528571429,1.842857143,0.394180547,0.394180547,0.468226906,3.258561086,0.65591863,0.210212026
13/02/2012,2012,2,NA,98,117.3,1.33279768,0,0.42,0.490285714,8.7,6.1,7.4,0.8,13.1,29.1,307.4,85.4,1033.7,7,7.1,7.1,7.1,7.4,7.9,5,0.2,0.33,0.33,0.012,2.946343125,0.345390959,0.142351063,9.757142857,5.685714286,7.714285714,9.271428571,7.928571429,20.52857143,202.3,94.28571429,1030.685714,7.628571429,7.685714286,7.614285714,7.485714286,7.442857143,7.685714286,4.342857143,0.571428571,0.356921538,0.356921538,0.109687444,5.482580982,1.567479198,0.305707364
20/02/2012,2012,2,NA,59,155.6,1.33279768,0,0.42,0.308571429,9.7,6.5,8.1,11.7,12.6,27.2,103,95,1019.3,7.5,7.3,6.9,6.8,7,8.1,5.6,0,0.357,0.357,0,11.70722667,4.353076795,2.067506511,9.671428571,5.9,7.8,5.942857143,12.84285714,32.82857143,349.2285714,86.87142857,1023.028571,7.157142857,7.185714286,7.214285714,7.242857143,7.428571429,8.042857143,5.114285714,2.357142857,0.637294125,0.637294125,0.206855721,5.362813349,1.457354906,0.688031259
27/02/2012,2012,2,147,110,224.3,1.33279768,0,0.42,0.639714286,10.5,9.6,10.1,9.4,10.5,24.1,96.7,99.1,1017.2,9.8,9.7,9.3,9,8.7,8.6,9.6,0,0.428,0.428,0,6.727513021,2.361700044,0.575303342,11.02857143,8.142857143,9.585714286,5.257142857,10.44285714,28.62857143,270.3857143,92.7,1018.257143,9.442857143,9.385714286,9.085714286,8.771428571,8.428571429,8.314285714,7.628571429,0.914285714,0.534662238,0.534662238,0.023615693,11.73476086,2.411844869,0.683294782
05/03/2012,2012,3,100,85,183,1.275028831,0,1.27,0.968857143,11.4,3.4,7.4,1.6,5.7,24.1,920.4,82.4,1025.9,7,7,7,7.2,7.6,8.8,-1,5.9,1.38,1.38,0,1.671260208,0.330677147,0.146643886,11.04285714,4.614285714,7.828571429,1.514285714,10.02857143,27.37142857,625.4142857,84.9,1016.528571,8.228571429,8.285714286,8.4,8.457142857,8.557142857,8.814285714,2.185714286,3.985714286,1.03936865,1.03936865,0.616902785,2.75902003,0.384377339,0.162355688
12/03/2012,2012,3,89.3,79.6,142.3,1.275028831,0,1.27,1.165,10.8,7.4,9.1,0.2,4.1,10.7,327.2,88.7,1031.8,9.8,9.8,9.7,9.5,9.2,8.8,7.4,0,0.526,0.526,0.326,1.75131875,0.277607333,0.116328757,11.04285714,6.7,8.857142857,3.314285714,10.7,26.42857143,429.6714286,90.38571429,1024.942857,9.028571429,8.928571429,8.7,8.485714286,8.314285714,8.657142857,6.257142857,1.357142857,0.720047083,0.720047083,0.058224461,3.716973482,0.889847952,0.318125636
19/03/2012,2012,3,NA,NA,NA,1.275028831,0,1.27,0.991571429,11.7,5.1,8.4,2.4,12.9,31.6,503.9,84.6,1024.9,8.2,8,7.8,7.7,8,9,3.7,0.2,0.608,0.608,0,2.749723021,0.389792458,0.138482081,10.92857143,4.871428571,7.9,4.442857143,7.157142857,21.71428571,516.6428571,86.64285714,1018.271429,8.271428571,8.271428571,8.4,8.428571429,8.642857143,9.042857143,2.8,1.571428571,0.81218103,0.81218103,0.53355686,2.416398125,0.551857503,0.252190549
26/03/2012,2012,3,51.6,67.3,67,1.275028831,0,1.27,0.273714286,18.5,8.3,13.4,0,9.8,22.5,1643.8,63.3,1030.2,12,11.7,11.1,10.5,9.8,9.2,6,10.4,2.978,2.978,10.664,0.661763542,0.166552898,0.074198334,14.87142857,7.4,11.14285714,0.1,11.05714286,25.25714286,996.6428571,75.92857143,1024.271429,10.27142857,10.1,9.657142857,9.3,9,9.014285714,4.8,4.714285714,1.623437799,1.623437799,4.893313775,1.278601354,0.233316311,0.092905562
02/04/2012,2012,4,56.3,43.6,46,1.232652142,0,0.47,0.031857143,13.6,7.2,10.4,1.7,4.9,17.5,796.3,81.8,1010.8,10.5,10.4,10.3,10.1,10,9.8,5.1,2.4,1.226,1.226,22.575,0.392240625,0.148950726,0.066743249,15.6,5.971428571,10.78571429,0.242857143,7.271428571,18.41428571,1100.242857,76.37142857,1025.114286,11.02857143,10.9,10.74285714,10.48571429,10.14285714,9.628571429,3.042857143,5.842857143,1.944408719,1.944408719,19.47849951,0.457790997,0.154107311,0.068766468
09/04/2012,2012,4,137.3,92.6,209,1.232652142,0,0.47,-0.458714286,10.1,4.4,7.2,14.2,9.3,30.5,759.9,89.8,985.7,9,9.1,9.3,9.4,9.5,9.6,2.9,1.7,1.057,1.057,6.248,2.050429375,1.150007876,0.188894524,10.05714286,4.7,7.357142857,3.614285714,9.842857143,27.72857143,765.0142857,84.87142857,1011.585714,8.614285714,8.657142857,8.885714286,9.071428571,9.314285714,9.728571429,3.014285714,3.028571429,1.281850431,1.281850431,18.6186694,0.679959955,0.380260602,0.09128346
16/04/2012,2012,4,56.3,52.6,87.6,1.232652142,0,0.47,0.349,10.9,5.8,8.3,13,14,35.4,419.3,86.4,1010.9,8.7,8.7,8.9,9.1,9.2,9.5,5.2,0.1,0.807,0.807,0,2.786054688,1.391745915,0.414471581,11.22857143,3.457142857,7.328571429,3.5,8.642857143,23.9,1415.428571,79.64285714,1005.642857,8.771428571,8.671428571,8.757142857,8.914285714,9.142857143,9.557142857,0.671428571,6.757142857,2.128580345,2.128580345,4.437191437,1.648662887,0.543658539,0.164402713
23/04/2012,2012,4,100.6,84,121.3,1.232652142,0,0.47,0.585285714,12.2,4.2,8.2,0.5,8.4,23.5,1700.8,81.2,995.7,10.8,10.6,10.4,10.2,9.9,9.6,2.8,9,2.819,2.819,6.196,1.464594896,0.211157008,0.09414537,12.01428571,5.1,8.557142857,3.385714286,10.04285714,26.5,1458.071429,81.54285714,991.6714286,9.714285714,9.585714286,9.442857143,9.371428571,9.328571429,9.514285714,3.071428571,7.614285714,2.505489708,2.505489708,1.93163352,4.293790164,0.790981134,0.327476481
30/04/2012,2012,4,NA,NA,NA,1.232652142,0,0.47,0.411142857,14.9,6.4,10.7,0.2,12.7,32.4,1532.5,73.1,1011.7,10.4,10.3,9.9,9.6,9.4,9.7,5.3,6.1,2.404,2.404,19.034,0.383772292,0.139342503,0.071345376,11.54285714,4.128571429,7.842857143,0.857142857,12.82857143,32.27142857,1722.328571,74.02857143,1006.114286,9.428571429,9.328571429,9.414285714,9.471428571,9.585714286,9.757142857,2.571428571,8.314285714,2.691136364,2.691136364,11.80968587,0.660600655,0.159402243,0.076591878
