Bedford,Date,Station,Latitude,Longitude,Depth,density (CTD S & Lab T),CTD_Temp1,CTD_Temp2,CTD_Salt1,CTD_Salt2,TOxN to submit umol/l,TOxN to submit umol/kg,TOxN_Flag,Si_to submit umol/l,Si_to submit umol/kg,Silicate_Flag,Nitrite umol/l,Nitrite umol/kg,Nitrite_Flag,Phosphate_MI umol/l,Phosphate umol/kg,Phosphate_Flag,Nitrate umol/l,Nitrate umol/kg,Nitrate_Flag,,,,,
100029,29/04/2017,2,43.335,-49.5818,9.411,1023.079149,1.6411,1.6423,32.7913,32.7947,2.74,2.68,2,1.06,1.03,2,0.08,0.08,2,0.45,0.44,2,2.66,2.60,2,,,,,
100030,30/04/2017,3,43.2528,-49.3697,554.233,1024.580939,3.8569,3.8605,34.7613,34.7637,16.28,15.89,2,10.45,10.20,2,<0.04,<0.04,2,1.11,1.09,2,16.24,15.85,2,,,,,
100031,30/04/2017,3,43.2528,-49.3697,532.642,1024.576744,3.836,3.8372,34.7558,34.7581,16.11,15.72,2,10.21,9.97,2,<0.04,<0.04,2,1.11,1.08,2,16.07,15.68,2,,,,,
100032,30/04/2017,3,43.2528,-49.3697,496.27,1024.533955,3.7204,3.7207,34.6997,34.7016,15.71,15.33,2,9.94,9.70,2,<0.04,<0.04,2,1.07,1.05,2,15.67,15.29,2,,,,,
100033,30/04/2017,3,43.2528,-49.3697,395.32,1024.51443,3.6875,3.6875,34.6741,34.6779,16.03,15.65,2,9.97,9.73,2,<0.04,<0.04,2,1.11,1.09,2,15.99,15.61,2,,,,,
100034,30/04/2017,3,43.2528,-49.3697,297.365,1024.471567,4.3642,4.368,34.6179,34.6205,16.82,16.42,2,11.19,10.92,2,<0.04,<0.04,2,1.16,1.13,2,16.78,16.38,2,,,,,
100035,30/04/2017,3,43.2528,-49.3697,200.524,1024.274506,5.0972,5.0964,34.3595,34.3613,12.21,11.92,2,7.35,7.17,2,0.17,0.17,2,0.87,0.84,2,12.03,11.75,2,,,,,
100036,30/04/2017,3,43.2528,-49.3697,100.021,1023.482953,0.2146,0.2189,33.3212,33.3273,8.36,8.17,2,6.69,6.54,2,0.12,0.12,2,0.80,0.78,2,8.24,8.05,2,,,,,
100037,30/04/2017,3,43.2528,-49.3697,69.371,1023.36955,-0.4219,-0.4201,33.1724,33.1781,7.71,7.53,2,5.99,5.85,2,<0.04,<0.04,2,0.79,0.77,2,7.67,7.49,2,,,,,
100038,30/04/2017,3,43.2528,-49.3697,50.519,1023.304851,-0.6913,-0.6909,33.0875,33.0921,7.41,7.24,2,5.49,5.36,2,0.10,0.09,2,0.78,0.76,2,7.32,7.15,2,,,,,
100039,30/04/2017,3,43.2528,-49.3697,9.704,1023.11275,0.9301,0.93,32.8354,32.8389,5.07,4.95,2,3.43,3.35,2,0.07,0.06,2,0.65,0.63,2,5.00,4.89,2,,,,,
100040,30/04/2017,4,43.1931,-49.1528,1019.285,1024.677046,3.7103,3.7106,34.8873,34.8892,16.86,16.45,2,10.09,9.85,2,0.10,0.10,4,1.11,1.08,2,16.76,16.35,4,,,,,
100041,30/04/2017,4,43.1931,-49.1528,992.037,1024.677657,3.7259,3.7266,34.8881,34.89,17.15,16.74,2,9.68,9.45,2,<0.04,<0.04,2,1.12,1.10,2,17.11,16.70,2,,,,,
100042,30/04/2017,4,43.1931,-49.1528,793.345,1024.696726,4.042,4.0423,34.9131,34.9146,17.79,17.36,2,9.54,9.31,2,<0.04,<0.04,2,1.13,1.11,2,17.75,17.32,2,,,,,
100043,30/04/2017,4,43.1931,-49.1528,593.47,1024.681013,4.0957,4.0958,34.8925,34.8942,17.02,16.61,2,9.25,9.03,2,<0.01,<0.01,2,1.11,1.08,2,17.01,16.60,2,,,,,
100044,30/04/2017,4,43.1931,-49.1528,395.906,1024.592227,3.9367,3.9373,34.7761,34.7782,16.10,15.71,2,9.73,9.50,2,<0.04,<0.04,2,1.09,1.06,2,16.06,15.67,2,,,,,
100045,30/04/2017,4,43.1931,-49.1528,296.616,1024.455017,3.3447,3.3447,34.5962,34.5983,15.02,14.66,2,9.31,9.09,2,<0.04,<0.04,2,1.04,1.01,2,14.98,14.62,2,,,,,
100046,30/04/2017,4,43.1931,-49.1528,197.004,1024.314923,3.2064,3.2066,34.4125,34.4154,14.54,14.20,2,9.34,9.12,2,<0.04,<0.04,2,1.03,1.01,2,14.50,14.16,2,,,,,
100047,30/04/2017,4,43.1931,-49.1528,98.314,1023.808654,2.2708,2.2638,33.7485,33.7511,9.40,9.18,2,6.58,6.42,2,0.17,0.17,2,0.82,0.80,2,9.22,9.01,2,,,,,
100048,30/04/2017,4,43.1931,-49.1528,48.321,1023.590648,1.6067,1.6054,33.4625,33.4668,6.99,6.82,2,4.93,4.81,2,0.11,0.11,2,0.71,0.70,2,6.88,6.72,2,,,,,
100049,30/04/2017,4,43.1931,-49.1528,9.56,1023.263167,2.5898,2.6039,33.0328,33.0284,4.21,4.12,2,2.64,2.58,2,0.06,0.06,2,0.54,0.53,2,4.15,4.06,2,,,,,
100050,30/04/2017,5,43.1402,-48.9946,1546.817,1024.691845,3.6036,3.6043,34.9067,34.9079,18.18,17.74,2,11.28,11.01,2,<0.01,<0.01,2,1.35,1.32,2,18.17,17.73,2,,,,,
100051,30/04/2017,5,43.1402,-48.9946,1532.442,1024.691082,3.6027,3.6032,34.9057,34.9071,17.85,17.42,2,11.00,10.73,2,<0.04,<0.04,2,1.15,1.12,2,17.81,17.38,2,,,,,
100052,30/04/2017,5,43.1402,-48.9946,1501.59,1024.690166,3.6013,3.6019,34.9045,34.9057,17.76,17.34,2,11.25,10.98,2,<0.04,<0.04,2,1.14,1.12,2,17.72,17.30,2,,,,,
100053,30/04/2017,5,43.1402,-48.9946,1450.947,1024.687344,3.6013,3.6018,34.9008,34.9022,17.34,16.92,2,11.30,11.03,2,<0.01,<0.01,2,1.14,1.11,2,17.33,16.91,2,,,,,
100054,30/04/2017,5,43.1402,-48.9946,1400.105,1024.685361,3.5984,3.599,34.8982,34.8995,17.48,17.05,2,10.96,10.69,2,<0.01,<0.01,2,1.13,1.10,2,17.47,17.04,2,,,,,
100055,30/04/2017,5,43.1402,-48.9946,1298.288,1024.676512,3.6075,3.6079,34.8866,34.888,17.25,16.83,2,10.12,9.88,2,<0.01,<0.01,2,1.10,1.08,2,17.24,16.82,2,,,,,
100056,30/04/2017,5,43.1402,-48.9946,1199.186,1024.67636,3.6147,3.6153,34.8864,34.888,17.20,16.79,2,10.19,9.94,2,<0.01,<0.01,2,1.11,1.09,2,17.19,16.78,2,,,,,
100057,30/04/2017,5,43.1402,-48.9946,1098.784,1024.67575,3.6515,3.6522,34.8856,34.8871,16.70,16.30,2,10.21,9.96,2,<0.01,<0.01,2,1.11,1.08,2,16.69,16.29,2,,,,,
100058,30/04/2017,5,43.1402,-48.9946,999.714,1024.682538,3.7392,3.7397,34.8945,34.8961,17.06,16.65,2,10.18,9.94,2,<0.01,<0.01,2,1.12,1.09,2,17.05,16.64,2,,,,,
100059,30/04/2017,5,43.1402,-48.9946,899.604,1024.707329,4.0092,4.0096,34.927,34.9287,17.74,17.31,2,10.45,10.20,2,<0.01,<0.01,2,1.14,1.11,2,17.73,17.30,2,,,,,
100060,30/04/2017,5,43.1402,-48.9946,799.157,1024.709541,4.0905,4.0904,34.9299,34.9315,17.35,16.93,2,10.54,10.28,2,<0.01,<0.01,2,1.35,1.32,4,17.34,16.92,2,,,,,
100061,30/04/2017,5,43.1402,-48.9946,699.962,1024.695964,4.091,4.0917,34.9121,34.9141,17.28,16.86,2,9.88,9.64,2,<0.04,<0.04,2,1.14,1.11,2,17.24,16.82,2,,,,,
100062,30/04/2017,5,43.1402,-48.9946,599.897,1024.672546,4.001,4.001,34.8814,34.8833,17.01,16.60,2,9.49,9.27,2,<0.04,<0.04,2,1.11,1.08,2,16.97,16.56,2,,,,,
100063,30/04/2017,5,43.1402,-48.9946,499.034,1024.644934,3.9176,3.9174,34.8452,34.8471,16.87,16.46,2,9.36,9.13,2,<0.01,<0.01,2,1.08,1.06,2,16.86,16.45,2,,,,,
100065,30/04/2017,5,43.1402,-48.9946,300.029,1024.458754,3.7237,3.7235,34.6011,34.6035,15.83,15.45,2,10.14,9.90,2,<0.04,<0.04,2,1.09,1.07,2,15.79,15.41,2,,,,,
100066,30/04/2017,5,43.1402,-48.9946,250.274,1024.364873,3.7301,3.7299,34.478,34.4799,15.51,15.14,2,10.31,10.07,2,<0.04,<0.04,2,1.10,1.07,2,15.47,15.10,2,,,,,
100067,30/04/2017,5,43.1402,-48.9946,201.471,1024.257501,3.7551,3.7326,34.3372,34.3399,14.21,13.87,2,9.31,9.09,2,0.08,0.07,2,1.03,1.00,2,14.13,13.80,2,,,,,
100068,30/04/2017,5,43.1402,-48.9946,150.352,1024.292579,4.8123,4.7797,34.3832,34.3795,13.20,12.89,2,8.25,8.06,2,0.12,0.12,2,0.97,0.94,2,13.08,12.77,2,,,,,
100069,30/04/2017,5,43.1402,-48.9946,99.756,1024.078845,4.0188,4.0304,34.1029,34.1078,9.43,9.21,2,6.15,6.01,2,0.20,0.20,2,0.78,0.76,2,9.23,9.01,2,,,,,
100070,30/04/2017,5,43.1402,-48.9946,69.378,1023.508256,0.6193,0.5799,33.3544,33.353,8.08,7.90,2,5.75,5.62,2,0.13,0.13,2,0.82,0.80,2,7.95,7.77,2,,,,,
100071,30/04/2017,5,43.1402,-48.9946,38.739,1023.259433,0.2446,0.2539,33.0279,33.0287,5.61,5.49,2,3.11,3.04,2,0.09,0.09,2,0.68,0.67,2,5.52,5.39,2,,,,,
100072,30/04/2017,5,43.1402,-48.9946,20.387,1023.142009,0.2026,0.1707,32.8738,32.8803,4.48,4.38,2,2.04,2.00,2,0.08,0.08,2,0.69,0.68,2,4.41,4.31,2,,,,,
100073,30/04/2017,5,43.1402,-48.9946,10.396,1023.100483,1.2447,1.256,32.8193,32.8228,2.99,2.92,2,0.59,0.58,2,0.07,0.07,2,0.46,0.45,2,2.92,2.85,2,,,,,
100074,30/04/2017,6,43.08816667,-48.8475,2026.255,1024.704812,3.308,3.3086,34.9237,34.9248,18.65,18.20,2,13.49,13.17,2,<0.04,<0.04,2,1.16,1.13,2,18.61,18.16,2,,,,,
100075,30/04/2017,6,43.08816667,-48.8475,1985.085,1024.705804,3.3932,3.3934,34.925,34.9261,20.25,19.76,2,12.93,12.62,2,<0.04,<0.04,2,1.15,1.12,2,20.21,19.72,2,,,,,
100076,30/04/2017,6,43.08816667,-48.8475,1957.687,1024.70588,3.4008,3.4015,34.9251,34.926,18.71,18.25,2,13.00,12.68,2,<0.04,<0.04,2,1.13,1.11,2,18.67,18.22,2,,,,,
100077,30/04/2017,6,43.08816667,-48.8475,1900.302,1024.705956,3.4122,3.4123,34.9252,34.9264,17.15,16.74,2,13.20,12.88,2,<0.04,<0.04,2,1.14,1.11,2,17.11,16.70,2,,,,,
100078,30/04/2017,6,43.08816667,-48.8475,1801.177,1024.706033,3.5209,3.5217,34.9253,34.9265,17.43,17.01,2,12.66,12.35,2,<0.04,<0.04,2,1.14,1.11,2,17.39,16.98,2,,,,,
100079,30/04/2017,6,43.08816667,-48.8475,1700.2,1024.707024,3.5805,3.581,34.9266,34.9277,17.67,17.25,2,12.61,12.30,2,<0.04,<0.04,2,1.15,1.12,2,17.63,17.21,2,,,,,
100080,30/04/2017,6,43.08816667,-48.8475,1599.194,1024.704049,3.622,3.6224,34.9227,34.924,18.00,17.57,2,12.13,11.84,2,<0.04,<0.04,2,1.15,1.13,2,17.96,17.53,2,,,,,
100081,30/04/2017,6,43.08816667,-48.8475,1399.479,1024.682538,3.5833,3.5839,34.8945,34.8959,16.72,16.32,2,10.42,10.17,2,<0.01,<0.01,2,1.12,1.09,2,16.71,16.31,2,,,,,
100082,30/04/2017,6,43.08816667,-48.8475,1303.098,1024.675368,3.5563,3.5568,34.8851,34.8864,16.53,16.13,2,9.98,9.74,2,<0.01,<0.01,2,1.10,1.08,2,16.52,16.12,2,,,,,
100083,30/04/2017,6,43.08816667,-48.8475,1200.556,1024.67102,3.5565,3.5569,34.8794,34.881,17.37,16.95,2,9.82,9.59,2,<0.04,<0.04,2,1.11,1.08,2,17.33,16.91,2,,,,,
100084,30/04/2017,6,43.08816667,-48.8475,1099.083,1024.674224,3.6142,3.6156,34.8836,34.8854,16.61,16.21,2,9.80,9.56,2,<0.04,<0.04,2,1.11,1.08,2,16.57,16.17,2,,,,,
100085,30/04/2017,6,43.08816667,-48.8475,1000.08,1024.677352,3.6946,3.6952,34.8877,34.8893,16.67,16.27,2,9.78,9.54,2,<0.04,<0.04,2,1.11,1.09,2,16.63,16.23,2,,,,,
100086,30/04/2017,6,43.08816667,-48.8475,850.624,1024.675826,3.7472,3.7477,34.8857,34.8872,17.26,16.85,2,9.57,9.33,2,<0.04,<0.04,2,1.11,1.09,2,17.22,16.81,2,,,,,
100087,30/04/2017,6,43.08816667,-48.8475,749.457,1024.675445,3.7843,3.7845,34.8852,34.8871,17.28,16.86,2,9.58,9.35,2,<0.04,<0.04,2,1.10,1.07,2,17.24,16.83,2,,,,,
100088,30/04/2017,6,43.08816667,-48.8475,601.165,1024.680403,3.953,3.9533,34.8917,34.8937,16.61,16.21,2,9.59,9.35,2,<0.04,<0.04,2,1.11,1.08,2,16.57,16.17,2,,,,,
100089,30/04/2017,6,43.08816667,-48.8475,499.556,1024.66202,3.9981,3.9981,34.8676,34.8698,16.52,16.12,2,9.55,9.32,2,<0.04,<0.04,2,1.10,1.08,2,16.48,16.08,2,,,,,
